PIP CODE,CAV CODE,PRODUCT DESCRIPTION,PACK SIZE,CATEGORY
7164585,ASCO50,Ascorbic Acid Tabs 50mg                       ,28,GENERIC
1108729,ASPD28,Aspirin Disp Tabs 75mg,28,GENERIC
1108737,ASPD10,Aspirin Disp Tabs 75mg,100,GENERIC
8016750,ASPD100,Aspirin Disp Tabs 75mg,100,GENERIC
1108745,ASPS75,Aspirin Disp Tabs 75mg,1000,GENERIC
8160152,ASP3EC,Aspirin Tabs 300mg EC,100,GENERIC
8460131,ASP752,Aspirin Tabs 75mg  ,28,GENERIC
1108703,ASP728,Aspirin Tabs 75mg EC,28,GENERIC
1108711,APS7EC,Aspirin Tabs 75mg EC,56,GENERIC
1147164,ATESOL,Atenolol Oral Solution 25mg/5ml                     ,300ml,GENERIC
1097468,ATE100,Atenolol Tabs 100mg,28,GENERIC
8432684,ATE10C,Atenolol Tabs 100mg,28,GENERIC
8126922,ATE25P,Atenolol Tabs 25mg,28,GENERIC
1097385,ATE25,Atenolol Tabs 25mg,28,GENERIC
8432692,ATE50C,Atenolol Tabs 50mg,28,GENERIC
1097450,ATE50,Atenolol Tabs 50mg,28,GENERIC
6349757,ATO10,Atorvastatin Tabs 10mg                                               ,28,GENERIC
6349807,ATO20,Atorvastatin Tabs 20mg                                               ,28,GENERIC
6349815,ATO40,Atorvastatin Tabs 40mg                                               ,28,GENERIC
6349740,ATO80,Atorvastatin Tabs 80mg                                               ,28,GENERIC
6359566,ATOPRO,Atovaquone/Proguanil Tabs 250/100mg                       ,12,GENERIC
8383937,ATROP1,Atropine 1% eye drops,10ml,GENERIC
7118110,AZA228,Azathioprine Tabs 25mg,28,GENERIC
8451312,AZA25,Azathioprine Tabs 25mg,100,GENERIC
7015803,AZA50,Azathioprine Tabs 50mg,100,GENERIC
1151943,AZA56,Azathioprine Tabs 50mg                                     ,56,GENERIC
8157398,AZI254,Azithromycin Caps 250mg                        ,4,GENERIC
8157380,AZI256,Azithromycin Caps 250mg                           ,6,GENERIC
8439085,AZI215,Azithromycin Suspension 200mg/5ml          ,15ml,GENERIC
8427015,AZI250M,Azithromycin Tabs 250mg                ,4,GENERIC
1209915,AZI250,Azithromycin Tabs 250mg                ,4,GENERIC
1209923,AZI500,Azithromycin Tabs 500mg                   ,3,GENERIC
1195791,BACLQD,Baclofen Oral Solution 5mg/5ml SF            ,300ml,GENERIC
1117639,BAC184,Baclofen Tabs 10mg,84,GENERIC
7050347,NASBEC,Beclomethasone Aqueous Nasal Spray (POM),200d,GENERIC
8439721,BEN28S,Bendroflumethiazide Tabs 2.5mg,28,GENERIC
1100510,BEN228,Bendroflumethiazide Tabs 2.5mg,28,GENERIC
1108760,BEN528,Bendroflumethiazide Tabs 5mg,28,GENERIC
8087967,BENZYM,Benzydamine Oral Rinse 0.15%,300ml,GENERIC
8462392,BENZYD,Benzydamine Oromucosal Spray 0.15% w/v      ,30ml,GENERIC
1132448,BET16,Betahistine Tabs 16mg ,84,GENERIC
8015562,BET16S,Betahistine Tabs 16mg ,84,GENERIC
1140235,BET884,Betahistine Tabs 8mg,84,GENERIC
8112849,FUBET3,Betameth 0.1% / Fusidic 2% Crm,30g,GENERIC
8112831,FUBET6,Betameth 0.1% / Fusidic 2% Crm,60g,GENERIC
1094903,BETCR1,Betamethasone Cream 0.1% 100g,1,GENERIC
7146038,BETCRM,Betamethasone Cream 0.1% 30g,1,GENERIC
8085060,BETON1,Betamethasone Ointment 0.1% 100g,1,GENERIC
8085151,BETOIN,Betamethasone Ointment 0.1% 30g,1,GENERIC
7097538,BEZ400,Bezafibrate Tabs 400mg XL (Fibrazate),30,GENERIC
1204015,BIC150,Bicalutamide Tab 150mg                  ,28,GENERIC
1203918,BIC50,Bicalutamide Tabs 50mg                     ,28,GENERIC
8015315,BIMEYE1,Bimatoprost Eye Drops 0.1mg/ml,3ml,GENERIC
8387698,BIMEYE,Bimatoprost Eye Drops 0.3mg/ml,3ml,GENERIC
7013899,BISS,Bisacodyl Supps 10mg,12,GENERIC
8096331,BIS5,Bisacodyl Tabs 5mg,1000,GENERIC
8152084,BIS560,Bisacodyl Tabs 5mg                                                 ,60,GENERIC
8075509,BIS6,Bisacodyl Tabs 5mg                                                 ,500,GENERIC
1159052,BIS125,Bisoprolol Tabs 1.25mg,28,GENERIC
8119083,BIS12S,Bisoprolol Tabs 10mg,28,GENERIC
1158864,BIS128,Bisoprolol Tabs 10mg,28,GENERIC
6305569,BIS25A,Bisoprolol Tabs 2.5mg,28,GENERIC
1159060,BIS25,Bisoprolol Tabs 2.5mg,28,GENERIC
1159078,BIS375,Bisoprolol Tabs 3.75mg,28,GENERIC
8099996,BIS52S,Bisoprolol Tabs 5mg,28,GENERIC
1158856,BIS528,Bisoprolol Tabs 5mg,28,GENERIC
8095101,BIS75M,Bisoprolol Tabs 7.5mg,28,GENERIC
1159086,BIS75,Bisoprolol Tabs 7.5mg,28,GENERIC
8158347,BRIMEYE,Brimonidine Eye Drops 0.2%,1,GENERIC
8432726,BRINZ,Brinzolamide Eye Drops 10mg/ml,5ml,GENERIC
1149475,BUDN64,Budesonide Nasal Spray 64mcg,10ml,GENERIC
1152206,BUDN5,Budesonide Nebuliser Solution 0.5mg/2ml,20,GENERIC
1152214,BUDN1,Budesonide Nebuliser Solution 1mg/2ml,20,GENERIC
1110147,BUM1,Bumetanide Tabs 1mg,28,GENERIC
7054521,BUM5,Bumetanide Tabs 5mg,28,GENERIC
8113730,BUP17,Buprenorph Patch 10mcg/hr 7Day,4,GENERIC
8124414,BUP157,Buprenorph Patch 15mcg/hr 7Day,4,GENERIC
8113714,BUP207,Buprenorph Patch 20mcg/hr 7Day,4,GENERIC
8113722,BUP57,Buprenorph Patch 5mcg/hr 7Day,4,GENERIC
8101255,BUPTD70,Buprenorphine Patch 70mcg/hr 4day,4,GENERIC
1198761,BUP47,Buprenorphine Tabs 0.4mg,7,GENERIC
8016859,BUP27S,Buprenorphine Tabs 2mg,7,GENERIC
1198779,BUP27,Buprenorphine Tabs 2mg,7,GENERIC
8016842,BUP87S,Buprenorphine Tabs 8mg,7,GENERIC
1198787,BUP87,Buprenorphine Tabs 8mg,7,GENERIC
1165950,BUS10,Buspirone Tabs 10mg                                  ,30,GENERIC
1165968,BUS5,Buspirone Tabs 5mg,30,GENERIC
8120495,CALCOL,Calc Carb/Colecal 1500mg/400iu ChewTabs,56,GENERIC
8090110,CALBET,Calcipot/Betamethas Oint 50mcg,30g,GENERIC
6835755,CALC30,Calcipotriol Oint 50mcg,30g,GENERIC
1149350,CALSOL,Calcipotriol Solution 50mcg/1ml,60ml,GENERIC
1142595,CALC25,Calcitriol Caps 0.25mg                      ,30,GENERIC
1110139,CALV28,Calcium & Ergocalciferol Tabs (licensed),28,GENERIC
1206366,CAND16,Candesartan Tabs 16mg                                 ,28,GENERIC
6304877,CAND2,Candesartan Tabs 2mg                                   ,7,GENERIC
1206374,CAND32,Candesartan Tabs 32mg                                 ,28,GENERIC
6304893,CAND4,Candesartan Tabs 4mg                                   ,7,GENERIC
1206127,CAND42,Candesartan Tabs 4mg                                   ,28,GENERIC
1206135,CAND8,Candesartan Tabs 8mg                                  ,28,GENERIC
7056476,CAPT12,Captopril Tabs 12.5mg,56,GENERIC
7056484,CAPT25,Captopril Tabs 25mg,56,GENERIC
7056450,CAPT50,Captopril Tabs 50mg,56,GENERIC
8152423,CARS10,Carbamazepine SF Sus 100mg/5ml,300ml,GENERIC
8127730,CARB10,Carbimazole Tab 10mg,100,GENERIC
8127938,CARB15,Carbimazole Tab 15mg,100,GENERIC
5013677,CARB20,Carbimazole Tabs 20mg,100,GENERIC
5013685,CARB5,Carbimazole Tabs 5mg,100,GENERIC
6290019,CARB37,Carbocisteine Caps 375mg                                         ,120,GENERIC
6330971,CARBOS,Carbocisteine Syrup 250mg/5ml,300ml,GENERIC
6328686,CARGEL,Carbomer Eye Gel,10g,GENERIC
8154916,CARM05,Carmellose Eye Drops 0.5% 0.4ml                        ,30,GENERIC
8137333,CARM10,Carmellose Eye Drops 0.5% 10ml                                     ,10ml,GENERIC
8155012,CARM1,Carmellose Eye Drops 1% 0.4ml                          ,30,GENERIC
1132489,CARV1,Carvedilol Tabs 12.5mg,28,GENERIC
1155928,CARV2,Carvedilol Tabs 25mg,28,GENERIC
1132471,CARV3,Carvedilol Tabs 3.125mg,28,GENERIC
1132497,CARV6,Carvedilol Tabs 6.25mg,28,GENERIC
7043185,CEP28C,Cefalexin Caps 250mg    ,28,GENERIC
1073675,CEP58C,Cefalexin Caps 500mg,21,GENERIC
7148992,CEPT28,Cefalexin Tabs 250mg,28,GENERIC
7164890,CEPT52,Cefalexin Tabs 500mg,21,GENERIC
7118540,CEP251,Cefradine Caps 250mg,20,GENERIC
7118557,CEP521,Cefradine Caps 500mg,20,GENERIC
8159162,CEF250,Cefuroxime Tabs 250mg,14,GENERIC
8072738,CELE10,Celecoxib Caps 100mg,60,GENERIC
8072704,CELE20,Celecoxib Caps 200mg,30,GENERIC
7164932,CEL200,Celiprolol Tabs 200mg,28,GENERIC
8140279,CEL400,Celiprolol Tabs 400mg     ,28,GENERIC
6826507,CETLQD,Cetirizine Liquid 1mg/1ml,200ml,GENERIC
8434839,CET103,Cetirizine Tab 10mg (GSL),30,GENERIC
1106848,CET30,Cetirizine Tabs 10mg,30,GENERIC
8124539,CETO50,Cetomacrogol 1000 (Emucet) cream ,50gm,GENERIC
8124521,CETO500,Cetomacrogol 1000 (Emucet) cream ,500gm,GENERIC
8461725,CHLOIN,Chloramphenicol Eye Oint  (POM),4g,GENERIC
8429730,CLOINP,Chloramphenicol Eye Oint 1% (P) ,4g,GENERIC
8121642,CHL10C,Chlordiazepoxide Caps 10mg,100,GENERIC
8121659,CHL5C,Chlordiazepoxide Caps 5mg,100,GENERIC
7096498,CHL300,Chlorhexidine Gluconate Mouthwash (Original),300ml,GENERIC
7096480,CHLHP,Chlorhexidine Gluconate Mouthwash (Peppermint),300ml,GENERIC
7102643,CHLELI,Chlorphenamine Oral Solution 2mg/5ml SF   ,150ml,GENERIC
1108794,CHL428,Chlorphenamine Tabs 4mg  ,28,GENERIC
1140268,CHL128,Chlorpromazine Tabs 100mg,28,GENERIC
8009177,CHL12S,Chlorpromazine Tabs 100mg,28,GENERIC
1140243,CHL228,Chlorpromazine Tabs 25mg,28,GENERIC
8009185,CHL22S,Chlorpromazine Tabs 25mg,28,GENERIC
1140250,CHL528,Chlorpromazine Tabs 50mg,28,GENERIC
8007502,CHL52S,Chlorpromazine Tabs 50mg,28,GENERIC
6273676,CIL156,Cilostazol Tabs 100mg                                                   ,56,GENERIC
8120545,CIM200,Cimetidine Tab 200mg,60,GENERIC
5014550,CIM400,Cimetidine Tab 400mg,60,GENERIC
1187665,CIN84,Cinnarizine Tabs 15mg,84,GENERIC
8455867,CIP128,Ciprofibrate Tab 100mg,28,GENERIC
1152222,CIP106,Ciprofloxacin Tabs 100mg,6,GENERIC
1110451,CIP251,Ciprofloxacin Tabs 250mg,10,GENERIC
7027063,CIP252,Ciprofloxacin Tabs 250mg,20,GENERIC
1110469,CIP510,Ciprofloxacin Tabs 500mg,10,GENERIC
7027071,CIP520,Ciprofloxacin Tabs 500mg,20,GENERIC
1152230,CIP750,Ciprofloxacin Tabs 750mg,10,GENERIC
1151745,CITDROP,Citalopram Oral Drops 40mg/5ml                   ,15ml,GENERIC
6328868,CIT12S,Citalopram Tabs 10mg,28,GENERIC
1110477,CIT128,Citalopram Tabs 10mg,28,GENERIC
8154064,CIT22S,Citalopram Tabs 20mg,28,GENERIC
1110485,CIT228,Citalopram Tabs 20mg,28,GENERIC
6328843,CIT42S,Citalopram Tabs 40mg,28,GENERIC
1110493,CIT428,Citalopram Tabs 40mg,28,GENERIC
1202563,CLS125,Clarithromycin Susp 125mg,70ml,GENERIC
1202571,CLS250,Clarithromycin Susp 250mg,70ml,GENERIC
1148766,CLA214,Clarithromycin Tabs 250mg,14,GENERIC
1148774,CLA528,Clarithromycin Tabs 500mg,14,GENERIC
2771400,CLEN10,Clenil Mod CFC Free 100mcg,1,GENERIC
2771392,CLEN20,Clenil Mod CFC Free 200mcg,1,GENERIC
2771384,CLEN25,Clenil Mod CFC Free 250mcg,1,GENERIC
2771376,CLEN50,Clenil Mod CFC Free 50mcg,1,GENERIC
6834741,CLI150,Clindamycin Caps 150mg,24,GENERIC
8443277,TAP105,Clobazam SF  Oral Susp 10mg/5ml ,150ml,GENERIC
8443285,TAP55,Clobazam SF Oral Susp 5mg/5ml ,150ml,GENERIC
8437758,CLOB10,Clobazam Tabs 10mg                                 ,30,GENERIC
1151604,CLO128,Clomipramine Caps 10mg,28,GENERIC
1151612,CLO228,Clomipramine Caps 25mg,28,GENERIC
1151760,CLO528,Clomipramine Caps 50mg,28,GENERIC
1151968,CLON2,Clonazepam Tabs 2mg                          ,100,GENERIC
1151950,CLON05,Clonazepam Tabs 500mcg                          ,100,GENERIC
1151786,CLON25,Clonidine Tabs 25mcg,112,GENERIC
1176676,CLOP752,Clopidogrel Tabs 75mg                          ,28,GENERIC
8434722,CLOP753,Clopidogrel Tabs 75mg                          ,30,GENERIC
7013063,CLOT20,Clotrimazole Cream 1%,20g,GENERIC
1134667,CLOT50,Clotrimazole Cream 1%,50g,GENERIC
7097520,CLO500,Clotrimazole Pess 500mg,1,GENERIC
8116071,COC12,Co Careldopa Tabs 12.5/50mg   ,90,GENERIC
7089238,COC125,Co Careldopa Tabs 25/100mg   ,100,GENERIC
8436248,COAM20,Co-Amilofruse Tabs 2.5/20mg,28,GENERIC
7052780,COA28,Co-Amilofruse Tabs 5/40mg,28,GENERIC
7164973,COA228,Co-Amilozide Tabs 2.5/25mg,28,GENERIC
8461691,COA528,Co-Amilozide Tabs 5/50mg,28,GENERIC
1117290,COA125,Co-Amoxiclav Oral Susp 125mg/5ml SF,100ml,GENERIC
1117308,COA250,Co-Amoxiclav Oral Susp 250mg/5ml SF,100ml,GENERIC
8135600,COA62S,Co-Amoxiclav Tab 500/125mg,21,GENERIC
1212471,COA625,Co-Amoxiclav Tab 500/125mg,21,GENERIC
1117316,COA372,Co-Amoxiclav Tabs 375mg,21,GENERIC
8123812,COA37S,Co-Amoxiclav Tabs 375mg ,21,GENERIC
6289805,COCC30,Co-Codamol Caplet 30/500mg,100,GENERIC
8465593,COCO15,Co-Codamol Caplets 15/500mg                                ,100,GENERIC
8159477,COCC15,Co-codamol Caps 15/500mg,100,GENERIC
7120272,COCC10,Co-Codamol Caps 30/500mg,100,GENERIC
814657,COC850,Co-Codamol Caps 8/500mg                      ,100,GENERIC
8138612,COC853,Co-Codamol Caps 8/500mg                                          ,32,GENERIC
1110535,COC300,Co-Codamol Tabs 30/500mg,100,GENERIC
7107790,COC852,Co-Codamol Tabs 8/500mg,32,GENERIC
1140904,COC510,Co-Codamol Tabs 8/500mg,100,GENERIC
7019284,COCOT,Co-Codamol Tabs 8/500mg,500,GENERIC
1132463,COCEFN,Co-Codamol Tabs Eff 30/500mg,100,GENERIC
8459208,COC832,Co-Codamol Tabs Eff 8/500mg                          ,32,GENERIC
1109479,COCODN,Co-Codamol Tabs Eff 8/500mg                          ,100,GENERIC
1112184,COC235,Co-Cyprindiol Tabs 2000/35mg,63,GENERIC
1110501,CODP11,Codeine Phosphate Tabs 15mg     ,28,GENERIC
8435760,COPH15,Codeine Phosphate Tabs 15mg     ,100,GENERIC
8435752,COPH31,Codeine Phosphate Tabs 30mg,100,GENERIC
1110519,CODP31,Codeine Phosphate Tabs 30mg     ,28,GENERIC
8124844,CODP35,Codeine Phosphate Tabs 30mg     ,500,GENERIC
1210798,CODP61,Codeine Phosphate Tabs 60mg,28,GENERIC
7118730,CODY30,Co-Dydramol Tabs 10/500mg,30,GENERIC
1110121,CODY1N,Co-Dydramol Tabs 10/500mg,100,GENERIC
7164676,CODYD,Co-Dydramol Tabs 10/500mg,500,GENERIC
6803456,CODY20,Co-Dydramol Tabs 20/500mg,56,GENERIC
6803837,CODY25,Co-Dydramol Tabs 20/500mg,112,GENERIC
6803878,CODY35,Co-Dydramol Tabs 30/500mg,56,GENERIC
1165984,COF25N,Co-Fluampicil Caps 250/250mg,28,GENERIC
7013915,COL500,Colchicine Tabs 500mcg,100,GENERIC
8114555,COL800,Colecalc D3 800iu Strivit Cap,30,GENERIC
6350474,COLE20,"Colecalciferol Caps 20,000iu ",20,GENERIC
8120552,COLE80,Colecalciferol Tabs 800iu,30,GENERIC
8023806,COL10C,Colecalciferol/VitD3 Cap 10000iu,20,GENERIC
8025637,COLE10C,Colecalciferol/VitD3 Cap 1000iu,30,GENERIC
8023798,COL210,Colecalciferol/VitD3 Cap 20000iu,10,GENERIC
5028485,COL230,Colecalciferol/VitD3 Cap 20000iu,30,GENERIC
8023780,COLE4,Colecalciferol/VitD3 Cap 400iu,30,GENERIC
4079067,COM125,Combisal Salm/Flutic 25/125mcg,120dse,GENERIC
4079083,COM250,Combisal Salm/Flutic 25/250mcg,120dse,GENERIC
4079075,COM50,Combisal Salm/Flutic 25/50mcg,120dse,GENERIC
1115708,COT50,Co-Tenidone Tabs 12.5/50mg,28,GENERIC
1115716,COT100,Co-Tenidone Tabs 25/100mg,28,GENERIC
8112393,COTSUS,Co-Trimoxazole  Susp 80mg/400mg/5ml,100ml,GENERIC
8112419,COTFOR,Co-Trimoxazole Forte Tab 800/160mg,100,GENERIC
8112401,COTPED,Co-Trimoxazole Paed Susp 40mg/200mg/5ml,100ml,GENERIC
7164841,COT480,Co-Trimoxazole Tabs 80/400mg,28,GENERIC
8072068,CYAN50,Cyanocobalamin Tabs 50mcg (NO PL)      ,50,GENERIC
8116097,CYC53,Cyclizine Tabs 50mg                                                     ,30,GENERIC
6349419,CYC50,Cyclizine Tabs 50mg                                                     ,100,GENERIC
8015059,CYC55,Cylizine lact Inj 50mg/ml,5,GENERIC
1132513,CYP184,Cyproterone Acetate Tabs 100mg,84,GENERIC
1132505,CYP56,Cyproterone Acetate Tabs 50mg,56,GENERIC
1197532,DAP100,Dapsone Tabs 100mg,28,GENERIC
1197524,DAP50,Dapsone Tabs 50mg,28,GENERIC
8089575,DESSOL,Desloratadine Soln 0.5mg/ml,150ml,GENERIC
8465585,DES530,Desloratadine Tabs 5mg,30,GENERIC
8415408,DESM10,Desmopressin Nasal Spray 10mcg,6ml,GENERIC
8455396,DESM19,Desmopressin Tabs 0.1mg,90,GENERIC
8455370,DESM23,Desmopressin Tabs 0.2mg,30,GENERIC
8105603,DES75,Desogestrel Tabs 75mcg                                                 ,84,GENERIC
8075129,DEXS2,Dexamethasone SF Soln 2mg/5ml,150ml,GENERIC
1152008,DEX250,Dexamethasone Tabs 2mg,50,GENERIC
1151992,DEX210,Dexamethasone Tabs 2mg,100,GENERIC
1202613,DIAS,Diazepam Oral Soln SF 2mg/5ml,100ml,GENERIC
1110568,DIA128,Diazepam Tabs 10mg,28,GENERIC
1110543,DIA228,Diazepam Tabs 2mg,28,GENERIC
1110550,DIA528,Diazepam Tabs 5mg,28,GENERIC
8460776,DIA528S,Diazepam Tabs 5mg,28,GENERIC
6833578,DIC10C,Diclofenac Caps 100mg SR,28,GENERIC
6833586,DIC75C,Diclofenac Caps 75mg SR ,56,GENERIC
8019424,DICG1,Diclofenac Gel Tube 1%,100gm,GENERIC
8091399,DICSUP,Diclofenac Supps 100mg,10,GENERIC
1128008,DIC100,Diclofenac Tabs 100mg SR (Diclofex),28,GENERIC
1127984,DIC284,Diclofenac Tabs 25mg ,84,GENERIC
1128081,DIC584,Diclofenac Tabs 50mg  ,84,GENERIC
1128404,DIC75,Diclofenac Tabs 75mg SR (Diclofex),28,GENERIC
1127992,DIC56,Diclofenac Tabs 75mg SR (Diclofex),56,GENERIC
8431439,DICSYR,Dicycloverine Syrup 10mg/5ml,120ml,GENERIC
8431421,DICY10,Dicycloverine Tabs 10mg,100,GENERIC
8430555,DICY20,Dicycloverine Tabs 20mg,84,GENERIC
1110113,DIG128,Digoxin Tabs 125mcg,28,GENERIC
1110105,DIG228,Digoxin Tabs 250mcg,28,GENERIC
1110097,DIG628,Digoxin Tabs 62.5mcg,28,GENERIC
1131473,DIH330,Dihydrocodeine Tabs 30mg ,30,GENERIC
1110576,DIH310,Dihydrocodeine Tabs 30mg ,100,GENERIC
1144195,DIH328,Dihydrocodeine Tabs 30mg        ,28,GENERIC
7018112,DIL60,Diltiazem MR Tabs 60mg ,100,GENERIC
8415416,DIL684,Diltiazem MR Tabs 60mg                ,84,GENERIC
8153520,DIPH25,Diphenhydramine Tab 25mg,20,GENERIC
8153546,DIPH50,Diphenhydramine Tab 50mg,20,GENERIC
7029861,DIPYS5,Dipyridamole Oral Susp 50mg/5ml,150ml,GENERIC
6335962,DIPRET,Dipyridamole Retard Caps 200mg ,60,GENERIC
1153048,DIP184,Dipyridamole Tabs 100mg,84,GENERIC
7164858,DIP284,Dipyridamole Tabs 25mg                           ,84,GENERIC
7118235,DIS101,Disopyramide Caps 100mg,84,GENERIC
8118366,DOMSUS,Domperidone Susp 1mg/1ml,200ml,GENERIC
1117829,DOM30,Domperidone Tabs 10mg,30,GENERIC
1117837,DOM100,Domperidone Tabs 10mg,100,GENERIC
6290977,DONE10,Donepezil Tabs 10mg                                             ,28,GENERIC
6290969,DONE5,Donepezil Tabs 5mg                                                ,28,GENERIC
8100927,DORTIM,Dorzolamide / Timolol Eye Drops Solution 20/5mg 5ml,5ml,GENERIC
8437741,DORZOL,Dorzolamide Eye Drops Solution 2% 5ml       ,1,GENERIC
1110584,DOT28,Dosulepin Caps 25mg,28,GENERIC
8003691,DOT75G,Dosulepin Tabs 75mg,28,GENERIC
8072514,DOX12S,Doxazosin Tabs 1mg,28,GENERIC
1110600,DOX128,Doxazosin Tabs 1mg,28,GENERIC
8120669,DOX22S,Doxazosin Tabs 2mg,28,GENERIC
1110618,DOX228,Doxazosin Tabs 2mg,28,GENERIC
8120651,DOX42S,Doxazosin Tabs 4mg,28,GENERIC
1110626,DOX428,Doxazosin Tabs 4mg,28,GENERIC
1222900,DOX4XL,Doxazosin XL (Raporsin) Tabs 4mg,28,GENERIC
8016065,DOX18S,Doxycycline Caps 100mg,8,GENERIC
1132521,DOX108,Doxycycline Caps 100mg,8,GENERIC
7018583,DOX100,Doxycycline Caps 100mg,50,GENERIC
1134121,DOX50,Doxycycline Caps 50mg,28,GENERIC
